"Бренд";"Тип_детали";"Артикул_Бренда";"Артикул_Кросс";"Оригинальный_номер";"Наименование";"Категория";"Код";"Артикул";"Единица";"Главная категория"
"KYB";"Рулевой наконечник";"KTR1130";"CEHO-47";"";"CEHO-47 KTR1130 наконечник рулевой KYB";"555/SE рулевые наконечники";"LEN00001971";"3027270";"шт";"555"
"KYB";"Рулевой наконечник";"KTR1131";"CEHO-48";"";"CEHO-48 KTR1131 наконечник рулевой KYB";"555/SE рулевые наконечники";"LEN00011901";"";"шт";"555"
"KYB";"Шаровая опора";"KBJ1002";"CBT-56";"";"CBT-56 KBJ1002 шаровые опоры KYB";"CHASE/SB шаровые опоры";"759";"";"шт";"CHASE"
"KYB";"Рулевой наконечник";"KTR1230";"CET-115L";"";"CET-115L KTR1230 рулевой наконечник KYB";"CHASE/SE рулевой наконечник";"LEN00010045";"";"шт";"CHASE"
"KYB";"Рулевой наконечник";"KTR1229";"CET-115R";"";"CET-115R KTR1229 рулевой наконечник KYB";"CHASE/SE рулевой наконечник";"LEN00010046";"";"шт";"CHASE"
"KYB";"Стойка стабилизатора";"KSLF1014";"CLT-69";"";"CLT-69 KSLF1014 тяга стабилизатора KYB";"CHASE/SL стойки стабилизатора";"739";"48820-33020";"шт";"CHASE"
"KYB";"Стойка стабилизатора";"KLSF1080";"CLT-7";"";"CLT-7 KLSF1080 стойка стабилизатора KYB";"LYNX/SL стойка стабилизатора";"LEN00009764";"";"шт";"LYNX"
"KYB";"Стойка стабилизатора";"KLSF1079";"CLT-8";"";"CLT-8 KLSF1079 стойка стабилизатора KYB";"LYNX/SL стойка стабилизатора";"LEN00009765";"";"шт";"LYNX"
"Avantech";"Стойка стабилизатора";"ASL0121";"CLT-30";"";"CLT-30 ASL0121 стойка стабилизатора AVANTECH";"555/SL стойки стабилизатора";"LEN00013498";"";"шт";"555"
"Avantech";"Тяга рулевая";"ARE0232";"";"";"ARE0232 тяга рулевая AVANTECH";"555/SR рулевые тяги";"LEN00011123";"";"шт";"555"
"Avantech";"Тяга рулевая";"ARE0219";"CRN-25";"";"CRN-25/ARE0219 тяга рулевая AVANTECH";"555/SR рулевые тяги";"LEN00006315";"";"шт";"555"
"Avantech";"Тяга рулевая";"ARE0212";"CRN-8";"";"CRN-8/ARE0212 тяга рулевая AVANTECH";"555/SR рулевые тяги";"LEN00012760";"";"шт";"555"
"Avantech";"Шаровая опора";"ABJ0301";"CBHO-16";"";"CBHO-16 ABJ0301 шаровая опора  AVANTECH";"CHASE/SB шаровые опоры";"779";"";"шт";"CHASE"
"Avantech";"Рулевой наконечник";"ATE0227R";"CEN-124";"";"CEN-124 ATE0227R рулевой наконечник AVANTECH";"CHASE/SE рулевой наконечник";"LEN00010653";"";"шт";"CHASE"
"Avantech";"Рулевой наконечник";"ATE0227L";"CEN-125";"";"CEN-125 ATE0227L рулевой наконечник AVANTECH";"CHASE/SE рулевой наконечник";"LEN00010652";"";"шт";"CHASE"
"Avantech";"Рулевой наконечник";"ATE0235L";"CEN-153L";"";"CEN-153L ATE0235L рулевой наконечник AVANTECH";"CHASE/SE рулевой наконечник";"LEN00014391";"";"шт";"CHASE"
"Avantech";"Рулевой наконечник";"ATE0235R";"CEN-153R";"";"CEN-153R ATE0235R рулевой наконечник AVANTECH";"CHASE/SE рулевой наконечник";"LEN00014390";"";"шт";"CHASE"
"Avantech";"Рулевой наконечник";"ATE0128R";"CET-151";"";"CET-151 ATE0128R  рулевой наконечник AVANTECH";"CHASE/SE рулевой наконечник";"1849";"";"шт";"CHASE"
"Avantech";"Рулевой наконечник";"ATE0128L";"CET-152";"";"CET-152 ATE0128L рулевой наконечник AVANTECH";"CHASE/SE рулевой наконечник";"1848";"";"шт";"CHASE"
"Avantech";"Шаровая опора";"ABJ0313";"CBHO-56";"";"CBHO-56 ABJ0313 шаровая опора AVANTECH";"LYNX/SB опора шаровая";"LEN00012461";"";"шт";"LYNX"
"Avantech";"Шаровая опора";"ABJ0101";"CBT-84";"";"CBT-84 ABJ0101 шаровая опора AVANTECH";"LYNX/SB опора шаровая";"LEN00011283";"";"шт";"LYNX"
"JIKIU";"Стойка стабилизатора";"LS22017L";"SL-N690L";"";"SL-N690L LS22017L стойка стабилизатора JIKIU";"555/SL стойки стабилизатора";"LEN00010053";"";"шт";"555"
"JIKIU";"Стойка стабилизатора";"LS22017R";"SL-N690R";"";"SL-N690R LS22017R стойка стабилизатора JIKIU";"555/SL стойки стабилизатора";"LEN00010054";"";"шт";"555"
"JIKIU";"Стойка стабилизатора";"BLK43003";"";"";"BLK43003 стойка стабилизатора  JIKIU";"LYNX/SL стойка стабилизатора";"LEN00009853";"";"шт";"LYNX"
"JIKIU";"Шаровая опора";"JB25005";"";"";"JB25005  шаровая опора JIKIU";"TI-GUAR/ШАРОВЫЕ ОПОРЫ";"LEN00012146";"";"шт";"TI-GUAR"
"RBI";"Стойка стабилизатора";"";"";"48830-42020";"48830-42020 стойка стабилизатора RBI";"555/SL стойки стабилизатора";"AMR00001028";"T27RV10E";"шт";"555"
"RBI";"Стойка стабилизатора";"";"";"48819-10010";"0123-EXZ10F стойка стабилизатора 48819-10010 rbi";"CHASE/SL стойки стабилизатора";"AMR00000969";"T27S010";"шт";"CHASE"
"RBI";"Стойка стабилизатора";"";"CLHO-45";"51320-SAE-T01";"CLHO-45 51320-SAE-T01тяга стаб. CITY 2006,JAZZ FR RH RBI";"CHASE/SL стойки стабилизатора";"2229";"O27205FR";"шт";"CHASE"
"RBI";"Стойка стабилизатора";"";"CLHO-46";"51321-SAE-T01";"CLHO-46 51321-SAE-T01тяга стаб. CITY 2006,JAZZ FR LH RBI";"CHASE/SL стойки стабилизатора";"2230";"O27205FL";"шт";"CHASE"
"RBI";"Стойка стабилизатора";"";"CLN-1";"54618-50Y00";"CLN-1  54618-50Y00 тяга стаб.CLN-1/SL-4740  RBI";"CHASE/SL стойки стабилизатора";"AMR00000970";"N2729F";"шт";"CHASE"
"RBI";"Стойка стабилизатора";"";"CLT-1";"";"CLT-1 SL-4740 стойка стаб. RBI";"CHASE/SL стойки стабилизатора";"AMR00000125";"54618-50Y00";"шт";"CHASE"
"FEBI";"Шаровая опора";"18130";"";"";"18130  шаровая опора FEBI";"CHASE/SB шаровые опоры";"LEN00004860";"";"шт";"CHASE"
"FEBI";"Стойка стабилизатора";"";"CLM-24";"MR992310";"CLM-24 MR992310 тяга стабилизатора L-200 правая FEBI";"CHASE/SL стойки стабилизатора";"2319";"";"шт";"CHASE"
"JETT";"Шаровая опора";"V61-048";"CBT-73";"";"CBT-73/V61-048   шаровые опоры JETT";"CHASE/SB шаровые опоры";"762";"";"шт";"CHASE"
"JETT";"Шаровая опора";"V61-116";"";"";"V61-116 шаровая опора JETT";"CHASE/SB шаровые опоры";"LEN00014917";"";"шт";"CHASE"
"JETT";"Рулевой наконечник";"V71-001";"CET-59";"";"CET-59 V71-001 рулевой наконечник JETT";"LYNX/SE рулевые наконечники";"LEN00007178";"";"шт";"LYNX"
"JETT";"Шаровая опора";"V61-001";"CBT-40";"";"CBT-40 V61-001 шаровая опора JETT";"TI-GUAR/ШАРОВЫЕ ОПОРЫ";"LEN00014884";"";"шт";"TI-GUAR"
"SAT";"Стойка стабилизатора";"";"";"20420-AA004";"20420-AA004 тяга стаб. FR SAT";"CHASE/SL стойки стабилизатора";"LEN00005494";"";"шт";"CHASE"
"SAT";"Стойка стабилизатора";"";"";"20481-AA001";"20481-AA001 тяга стаб. RR SAT";"CHASE/SL стойки стабилизатора";"LEN00005495";"";"шт";"CHASE"
"SAT";"Стойка стабилизатора";"";"";"48820-28020";"ML-9015 тяга стаб. 48820-28020 SAT";"CHASE/SL стойки стабилизатора";"LEN00003740";"ML-9015";"шт";"CHASE"
"SAT";"Тяга рулевая";"";"";"53010-S47-003";"0322-RF1 53010-S47-003 рулевая тяга HONDA STEP WG 96- SAT";"CHASE/SR рулевые тяги";"LEN00002257";"";"шт";"CHASE"
"SAT";"Стойка стабилизатора";"";"";"52320-S5A-003";"52320-S5A-003 стойка стабилизатора  SAT";"SUFIX/стойки стабилизатора";"LEN00004564";"";"шт";"SUFIX"
"SAT";"Стойка стабилизатора";"";"";"52321-S5A-003";"52321-S5A-003 стойка стабилизатора  SAT";"SUFIX/стойки стабилизатора";"LEN00005366";"";"шт";"SUFIX"
